"Time","Cuisine"
2020-02-26 09:29:21,0
2020-02-26 21:03:39,0
2020-02-26 21:03:39,0
2020-02-26 21:07:59,0
2020-02-27 21:24:38,0
2020-02-27 21:34:27,0
2020-02-27 22:24:38,0
2020-02-28 17:08:04,1
2020-02-28 21:26:03,0
2020-02-28 22:26:03,0
2020-02-29 17:08:04,1
2020-02-29 21:26:03,0
2020-02-29 22:26:03,0
2020-03-01 17:08:03,1
2020-03-01 21:26:04,0
2020-03-01 22:26:04,0
2020-03-02 21:26:04,0
2020-03-02 21:26:04,0
2020-03-02 22:26:04,0
2020-03-03 17:08:04,1
2020-03-03 21:26:03,0
2020-03-03 21:26:03,0
2020-03-04 17:08:04,1
2020-03-04 21:26:04,0
2020-03-04 21:26:04,0
2020-03-05 17:08:04,1
2020-03-05 21:26:04,0
2020-03-05 21:26:04,0
2020-03-06 17:08:03,1
2020-03-06 21:26:03,0
2020-03-06 21:26:04,0
2020-03-07 21:20:15,0
2020-03-07 21:20:15,0
2020-03-07 21:33:19,0
2020-03-08 17:08:35,0
2020-03-08 17:08:35,0
2020-03-08 21:26:04,0
2020-03-09 06:53:55,1
2020-03-09 08:15:53,0
2020-03-09 08:15:54,0
2020-03-09 20:50:19,0
2020-03-09 20:50:19,0
2020-03-09 21:19:06,0
2020-03-10 08:08:32,0
2020-03-10 08:08:32,0
2020-03-10 08:18:57,0
2020-03-10 17:06:53,0
2020-03-10 17:06:53,0
2020-03-10 21:07:49,0
2020-03-11 19:08:22,1
2020-03-11 21:41:03,0
2020-03-11 21:41:03,0
2020-03-12 06:55:55,1
2020-03-12 08:16:42,0
2020-03-12 08:16:43,0
2020-03-12 21:50:22,0
2020-03-12 21:50:22,0
2020-03-12 22:02:53,0
2020-03-13 18:04:13,1
2020-03-13 22:47:07,0
2020-03-13 22:47:07,0
2020-03-14 18:25:45,0
2020-03-14 18:25:45,0
2020-03-14 19:21:41,0
2020-03-15 19:24:43,0
2020-03-15 19:24:43,0
2020-03-15 21:00:42,0
2020-03-16 21:40:52,0
2020-03-16 21:40:52,0
2020-03-16 21:45:16,0
2020-03-17 21:16:41,0
2020-03-17 21:16:41,0
2020-03-17 21:46:51,0
2020-03-18 19:08:09,1
2020-03-18 21:52:10,0
2020-03-18 21:52:10,0
2020-03-19 21:59:32,0
2020-03-19 21:59:32,0
2020-03-19 22:15:37,0
2020-03-20 21:25:37,0
2020-03-20 21:25:38,0
2020-03-20 21:28:42,0
2020-03-21 18:45:04,1
2020-03-21 21:32:28,0
2020-03-21 21:32:28,0
2020-03-22 19:08:47,0
2020-03-22 19:08:47,0
2020-03-22 21:08:31,0
2020-03-23 18:38:48,1
2020-03-23 20:51:45,0
2020-03-23 20:51:45,0
2020-03-24 05:27:28,1
2020-03-24 05:29:05,0
2020-03-24 05:29:05,0
2020-03-24 21:16:46,0
2020-03-24 21:16:46,0
2020-03-24 21:42:52,0
2020-03-25 21:08:29,0
2020-03-25 21:08:29,0
2020-03-25 21:21:04,0
2020-03-26 18:54:25,1
2020-03-26 21:18:24,0
2020-03-26 21:18:24,0
2020-03-27 19:00:17,0
2020-03-27 19:00:17,0
2020-03-27 19:20:07,0
2020-03-28 21:12:36,0
2020-03-28 21:12:36,0
2020-03-28 22:16:32,0
2020-03-29 20:59:18,0
2020-03-29 20:59:18,0
2020-03-29 22:19:48,0
2020-03-30 08:01:41,1
2020-03-30 08:32:47,0
2020-03-30 08:32:47,0
2020-03-30 20:18:36,1
