"Time","Porte entrée"
2020-04-12 14:08:26,0
2020-04-12 14:08:28,0
2020-04-12 14:08:28,0
2020-04-13 07:51:43,0
2020-04-13 07:51:43,0
2020-04-13 07:52:30,0
2020-04-13 17:37:49,0
2020-04-13 17:37:49,0
2020-04-13 17:40:46,0
2020-04-14 08:45:02,0
2020-04-14 08:45:02,0
2020-04-14 08:48:46,0
2020-04-14 14:53:42,0
2020-04-14 14:53:42,0
2020-04-14 14:53:58,0
2020-04-15 09:39:20,0
2020-04-15 09:39:20,0
2020-04-15 09:49:58,0
2020-04-15 14:13:45,0
2020-04-15 14:13:45,0
2020-04-15 16:07:13,0
2020-04-16 08:12:19,0
2020-04-16 08:12:19,0
2020-04-16 08:13:22,0
2020-04-16 14:42:35,0
2020-04-16 14:42:35,0
2020-04-16 14:42:40,0
2020-04-17 09:15:58,0
2020-04-17 09:15:59,0
2020-04-17 09:28:28,0
2020-04-17 15:30:08,0
2020-04-17 15:30:08,0
2020-04-17 15:34:53,0
2020-04-18 08:01:20,0
2020-04-18 08:01:20,0
2020-04-18 08:23:41,0
2020-04-18 15:13:52,0
2020-04-18 15:13:52,0
2020-04-18 15:19:27,0
2020-04-19 09:06:20,0
2020-04-19 09:06:20,0
2020-04-19 09:09:40,0
2020-04-19 14:12:20,0
2020-04-19 14:12:20,0
2020-04-19 14:14:24,0
2020-04-20 08:51:37,0
2020-04-20 08:51:37,0
2020-04-20 09:07:51,0
2020-04-20 15:44:38,0
2020-04-20 15:44:39,0
2020-04-20 16:03:27,0
2020-04-21 07:57:13,0
2020-04-21 07:57:13,0
2020-04-21 08:49:21,0
2020-04-21 16:15:08,0
2020-04-21 16:37:06,0
2020-04-21 16:37:07,0
2020-04-22 08:15:05,0
2020-04-22 08:15:05,0
2020-04-22 08:21:44,0
2020-04-22 14:19:39,0
2020-04-22 14:19:40,0
2020-04-22 14:19:42,0
2020-04-23 08:17:56,0
2020-04-23 08:17:56,0
2020-04-23 08:18:46,0
2020-04-23 14:23:51,0
2020-04-23 14:23:51,0
2020-04-23 14:45:24,0
2020-04-24 10:06:27,0
2020-04-24 10:06:27,0
2020-04-24 10:58:38,0
2020-04-24 14:46:40,0
2020-04-24 14:46:41,0
2020-04-24 16:04:38,0
2020-04-25 07:24:48,0
2020-04-25 07:24:48,0
2020-04-25 07:58:55,0
2020-04-25 15:52:00,0
2020-04-25 15:52:00,0
2020-04-25 15:52:08,0
2020-04-26 08:33:38,0
2020-04-26 08:33:39,0
2020-04-26 08:36:20,0
2020-04-26 14:42:41,0
2020-04-26 14:42:41,0
2020-04-26 14:47:56,0
2020-04-27 08:37:03,0
2020-04-27 08:37:03,0
2020-04-27 08:39:16,0
2020-04-27 15:21:26,0
2020-04-27 15:21:26,0
2020-04-27 15:43:22,0
2020-04-28 08:47:23,0
2020-04-28 08:47:24,0
2020-04-28 08:49:38,0
2020-04-28 17:05:58,0
2020-04-28 17:05:58,0
2020-04-28 17:43:38,0
2020-04-29 09:41:14,0
2020-04-29 09:41:14,0
2020-04-29 10:13:42,0
2020-04-29 14:30:17,0
2020-04-29 14:30:17,0
2020-04-29 14:33:12,0
2020-04-30 11:03:22,0
2020-04-30 11:03:22,0
2020-04-30 11:13:07,0
2020-04-30 16:45:56,0
2020-04-30 16:46:44,0
2020-04-30 16:46:44,0
2020-05-01 08:38:57,0
2020-05-01 08:38:57,0
2020-05-01 09:23:46,0
2020-05-01 17:00:54,0
2020-05-01 17:00:54,0
2020-05-01 17:15:08,0
2020-05-02 08:07:46,0
2020-05-02 08:07:46,0
2020-05-02 08:15:11,0
2020-05-02 14:51:37,0
2020-05-02 14:51:37,0
2020-05-02 14:55:19,0
2020-05-03 10:43:48,0
2020-05-03 10:43:48,0
2020-05-03 11:19:35,0
2020-05-03 14:09:01,0
2020-05-03 14:09:01,0
2020-05-03 14:09:52,0
2020-05-04 07:43:22,0
2020-05-04 07:43:23,0
