"Time","Présence Flamme"
2020-07-10 05:10:50,0
2020-07-10 15:57:31,0
2020-07-10 15:57:31,0
2020-07-10 22:13:54,0
2020-07-12 06:01:54,1
2020-07-12 06:12:54,0
2020-07-12 06:12:54,0
2020-07-13 05:02:20,1
2020-07-13 05:12:20,0
2020-07-13 05:12:20,0
2020-07-13 17:54:08,1
2020-07-13 18:04:09,0
2020-07-13 18:04:09,0
2020-07-14 05:10:50,0
2020-07-14 05:10:50,0
2020-07-14 13:28:21,0
2020-07-15 05:14:20,0
2020-07-15 05:14:20,0
2020-07-15 11:18:43,0
2020-07-15 20:04:15,1
2020-07-15 20:13:16,0
2020-07-15 20:13:16,0
2020-07-16 08:37:02,1
2020-07-16 08:47:03,0
2020-07-16 08:47:03,0
2020-07-16 19:26:54,1
2020-07-16 19:35:55,0
2020-07-16 19:35:55,0
2020-07-17 07:29:39,0
2020-07-17 07:29:39,0
2020-07-17 09:19:46,0
2020-07-17 14:04:04,0
2020-07-17 14:04:04,0
2020-07-17 22:15:34,0
2020-07-18 17:21:46,1
2020-07-18 17:29:46,0
2020-07-18 17:29:46,0
2020-07-19 06:13:34,0
2020-07-19 06:13:34,0
2020-07-19 13:02:00,0
2020-07-19 17:35:17,1
2020-07-19 17:43:17,0
2020-07-19 17:43:17,0
2020-07-20 05:02:00,1
2020-07-20 05:12:00,0
2020-07-20 05:12:00,0
2020-07-20 15:55:40,1
2020-07-20 16:03:41,0
2020-07-20 16:03:41,0
2020-07-21 05:02:29,1
2020-07-21 05:12:30,0
2020-07-21 05:12:30,0
2020-07-21 17:24:16,1
2020-07-21 17:33:17,0
2020-07-21 17:33:17,0
2020-07-22 05:11:01,0
2020-07-22 05:11:01,0
2020-07-22 11:53:26,0
2020-07-23 05:02:31,1
2020-07-23 05:13:31,0
2020-07-23 05:13:31,0
2020-07-23 19:41:26,0
2020-07-23 19:41:26,0
2020-07-23 19:47:26,0
2020-07-24 08:37:55,0
2020-07-24 08:37:56,0
2020-07-24 10:05:01,0
2020-07-24 18:38:33,0
2020-07-24 18:38:33,0
2020-07-24 22:13:46,0
2020-08-01 16:53:29,0
2020-08-01 20:03:44,0
2020-08-02 09:58:01,0
2020-08-02 09:58:01,0
2020-08-02 13:13:11,0
2020-08-02 17:59:28,1
2020-08-02 18:09:29,0
2020-08-02 18:09:29,0
2020-08-03 07:08:54,0
2020-08-03 07:08:54,0
2020-08-03 12:11:13,0
2020-08-03 18:04:34,1
2020-08-03 18:12:34,0
2020-08-03 18:12:34,0
2020-08-04 06:17:18,1
2020-08-04 06:26:19,0
2020-08-04 06:26:19,0
2020-08-04 14:59:50,1
2020-08-04 15:07:50,0
2020-08-04 15:07:50,0
2020-08-05 05:12:43,0
2020-08-05 05:12:43,0
2020-08-05 11:42:04,0
2020-08-06 05:02:07,1
2020-08-06 05:12:08,0
2020-08-06 05:12:08,0
2020-08-07 05:02:34,1
2020-08-07 05:13:35,0
2020-08-07 05:13:35,0
2020-08-07 22:02:36,1
2020-08-07 22:16:37,0
2020-08-07 22:16:37,0
2020-08-09 06:02:33,1
2020-08-09 06:12:34,0
2020-08-09 06:12:34,0
2020-08-10 05:01:58,1
2020-08-10 05:13:58,0
2020-08-10 05:13:58,0
2020-08-10 16:25:39,1
2020-08-10 16:34:39,0
2020-08-10 16:34:40,0
2020-08-11 05:02:25,1
2020-08-11 05:11:25,0
2020-08-11 05:11:25,0
2020-08-11 14:49:01,1
2020-08-11 14:57:02,0
2020-08-11 14:57:02,0
2020-08-12 05:11:54,0
2020-08-12 05:11:54,0
2020-08-12 12:52:23,0
2020-08-13 05:02:22,1
2020-08-13 05:12:23,0
2020-08-13 05:12:23,0
2020-08-13 16:09:03,1
2020-08-13 16:17:04,0
2020-08-13 16:17:04,0
2020-08-14 05:16:54,1
2020-08-14 05:25:54,0
2020-08-14 05:25:54,0
2020-08-14 15:22:31,0
2020-08-14 15:22:31,0
2020-08-14 20:52:51,0
2020-08-15 14:12:54,1
2020-08-15 14:20:55,0
2020-08-15 14:20:55,0
2020-08-16 06:01:52,1
2020-08-16 06:11:52,0
2020-08-16 06:11:52,0
2020-08-16 14:00:21,0
2020-08-16 14:00:21,0
2020-08-17 05:02:13,1
2020-08-17 05:12:14,0
2020-08-17 05:12:14,0
2020-08-17 14:50:53,1
2020-08-17 14:59:54,0
2020-08-17 14:59:54,0
2020-08-18 05:11:46,0
2020-08-18 05:11:46,0
2020-08-18 11:22:09,0
2020-08-19 05:12:15,0
2020-08-19 05:12:15,0
2020-08-19 08:59:28,0
2020-08-19 20:50:12,1
2020-08-19 20:59:13,0
2020-08-19 20:59:13,0
2020-08-20 10:36:03,1
2020-08-20 10:44:04,0
2020-08-20 10:44:04,0
2020-08-20 20:30:40,1
2020-08-20 20:38:42,0
2020-08-20 20:38:42,0
2020-08-21 09:10:17,1
2020-08-21 09:19:18,0
2020-08-21 09:19:18,0
2020-08-21 18:41:52,0
2020-08-21 18:41:52,0
2020-08-21 22:13:06,0
2020-08-22 11:23:10,1
2020-08-22 11:29:43,0
2020-08-22 21:24:06,1
2020-08-22 21:32:06,0
2020-08-22 21:32:07,0
2020-08-23 13:37:05,1
2020-08-23 13:46:05,0
2020-08-23 13:46:06,0
2020-08-23 22:01:20,1
2020-08-23 22:02:19,0
2020-08-23 22:02:19,0
2020-08-24 05:02:45,1
2020-08-24 05:13:45,0
2020-08-24 05:13:45,0
2020-08-24 18:23:34,1
2020-08-24 18:32:34,0
2020-08-24 18:32:34,0
2020-08-25 05:02:13,1
2020-08-25 05:11:13,0
2020-08-25 05:11:13,0
2020-08-25 16:42:56,1
2020-08-25 16:52:56,0
2020-08-25 16:52:56,0
2020-08-26 05:01:41,1
2020-08-26 05:11:42,0
2020-08-26 05:11:42,0
2020-08-26 15:18:34,0
2020-08-26 15:18:34,0
2020-08-26 18:46:47,0
2020-08-27 05:02:21,1
2020-08-27 05:10:22,0
2020-08-27 05:10:22,0
2020-08-27 15:35:59,1
2020-08-27 15:45:00,0
2020-08-27 15:45:00,0
2020-08-28 05:02:49,1
2020-08-28 05:12:49,0
2020-08-28 05:12:49,0
2020-08-28 16:56:32,0
2020-08-28 16:56:32,0
2020-08-28 22:15:52,0
2020-08-29 14:22:51,0
2020-08-29 14:22:51,0
2020-08-29 20:00:12,0
2020-08-30 08:18:57,1
2020-08-30 08:27:57,0
2020-08-30 08:27:57,0
2020-09-03 05:13:26,0
2020-09-03 05:13:26,0
2020-09-03 10:20:44,0
2020-09-03 19:24:17,1
2020-09-03 19:32:18,0
2020-09-03 19:32:18,0
2020-09-04 07:46:03,1
2020-09-04 07:54:02,0
2020-09-04 07:54:02,0
2020-09-04 17:19:37,0
2020-09-04 17:19:37,0
2020-09-04 22:13:54,0
2020-09-05 14:46:55,1
2020-09-05 14:55:55,0
2020-09-05 14:55:55,0
2020-09-06 06:12:50,0
2020-09-06 06:12:50,0
2020-09-06 09:02:00,0
2020-09-06 18:26:34,1
2020-09-06 18:34:35,0
2020-09-06 18:34:35,0
2020-09-07 05:30:15,1
2020-09-07 05:38:16,0
2020-09-07 05:38:16,0
2020-09-07 14:02:46,0
2020-09-07 14:02:46,0
2020-09-08 05:12:40,0
2020-09-08 05:12:40,0
2020-09-08 13:15:10,0
2020-09-09 05:02:07,1
2020-09-09 05:15:08,0
2020-09-09 05:15:08,0
2020-09-09 16:00:47,0
2020-09-09 16:00:48,0
2020-09-09 19:15:59,0
2020-09-10 07:54:45,0
2020-09-10 07:54:45,0
2020-09-10 13:12:04,0
2020-09-10 18:41:24,1
2020-09-10 18:48:25,0
2020-09-10 18:48:25,0
2020-09-11 06:16:07,1
2020-09-11 06:25:07,0
2020-09-11 15:33:30,0
2020-09-11 15:33:30,0
2020-09-11 18:23:55,0
2020-09-12 17:00:17,0
2020-09-12 17:00:17,0
2020-09-12 18:29:22,0
2020-09-13 06:12:05,0
2020-09-13 06:12:05,0
2020-09-13 10:19:20,0
2020-09-13 15:13:38,1
2020-09-13 15:21:39,0
2020-09-13 15:21:39,0
2020-09-14 05:02:29,1
2020-09-14 05:12:29,0
2020-09-14 05:12:29,0
2020-09-14 16:33:11,0
2020-09-14 16:33:11,0
2020-09-14 21:01:52,0
2020-09-15 07:49:32,1
2020-09-15 07:58:32,0
2020-09-15 07:58:32,0
2020-09-16 05:13:50,0
2020-09-16 05:13:50,0
2020-09-16 09:34:06,0
2020-09-16 18:03:37,1
2020-09-16 18:13:38,0
2020-09-16 18:13:38,0
2020-09-17 05:11:18,0
2020-09-17 05:11:18,0
2020-09-17 13:15:47,0
2020-09-18 05:13:45,0
