time; Tin; Tout; humidity; detected_motions; power; office_CO2_concentration; door; CO2_corridor; acoustic_pressure; label
04/05/2015 08:30;20.390000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;460.000000;0.021997;0.000000
04/05/2015 08:35;20.390000;16.000000;52.000000;0.000000;0.000000;427.111167;0.000000;460.000000;0.011600;0.000000
04/05/2015 08:40;20.390000;16.000000;52.000000;1.000000;0.000000;426.262267;0.501933;460.000000;0.011600;0.000000
04/05/2015 08:45;20.409921;16.000000;52.000000;1.000000;0.000000;434.681733;0.383760;467.338433;0.011600;0.000000
04/05/2015 08:50;20.550000;16.000000;52.000000;0.000000;0.000000;432.047367;0.000000;475.376400;0.011600;0.000000
04/05/2015 08:55;20.550000;16.000000;52.191887;0.000000;0.000000;430.000000;0.000000;484.584967;0.011600;0.000000
04/05/2015 09:00;20.550000;17.000000;53.000000;0.000000;0.000000;430.000000;0.000000;508.181067;0.012290;0.000000
04/05/2015 09:05;20.550000;17.000000;53.000000;0.000000;0.000000;430.000000;0.000000;512.753300;0.025400;0.000000
04/05/2015 09:10;20.550000;17.000000;53.000000;0.000000;0.000000;430.000000;0.000000;500.230267;0.025400;0.000000
04/05/2015 09:15;20.550000;17.000000;53.000000;1.000000;0.000000;430.000000;0.030483;495.981667;0.025400;0.000000
04/05/2015 09:20;20.550000;17.000000;53.000000;2.000000;0.000000;437.477100;1.000000;492.990767;0.025400;0.000000
04/05/2015 09:25;20.550000;17.000000;53.000000;0.000000;0.000000;456.194433;1.000000;492.853367;0.025400;0.000000
04/05/2015 09:30;20.550000;17.000000;53.000000;1.000000;0.000000;474.409367;1.000000;494.765667;0.026475;0.086667
04/05/2015 09:35;20.550000;17.000000;53.000000;1.000000;0.000000;481.296733;1.000000;499.577300;0.050200;2.000000
04/05/2015 09:40;20.550000;17.000000;53.000000;0.000000;25.221613;479.253533;1.000000;504.864400;0.050200;2.000000
04/05/2015 09:45;20.580214;17.000000;53.546997;0.000000;20.179430;503.214000;1.000000;504.765633;0.050200;2.000000
04/05/2015 09:50;20.710000;17.000000;54.000000;0.000000;20.455483;557.108567;1.000000;528.845800;0.050200;2.000000
04/05/2015 09:55;20.710000;17.000000;54.000000;0.000000;20.308193;601.791767;1.000000;587.241933;0.050200;2.000000
04/05/2015 10:00;20.710000;18.000000;54.000000;0.000000;19.720943;644.961633;0.509597;608.933267;0.049605;1.973333
04/05/2015 10:05;20.710000;18.000000;54.000000;2.000000;21.953433;670.187900;0.000000;647.113267;0.027900;1.000000
04/05/2015 10:10;20.803708;18.000000;54.149563;1.000000;21.131993;668.784167;0.000000;659.857767;0.027900;1.000000
04/05/2015 10:15;20.860000;18.000000;54.000000;1.000000;22.170293;673.273900;0.000000;653.739967;0.027900;1.000000
04/05/2015 10:20;20.860000;18.000000;54.444123;0.000000;19.846313;655.600500;0.000000;643.315800;0.027900;1.000000
04/05/2015 10:25;20.860000;18.000000;55.000000;1.000000;19.602617;695.793333;0.000000;637.757033;0.027900;1.000000
04/05/2015 10:30;20.925837;18.000000;55.000000;1.000000;20.904677;703.432900;0.000000;626.257833;0.028586;1.045333
04/05/2015 10:35;21.020000;18.000000;55.000000;1.000000;18.000000;743.270033;0.011753;639.822900;0.040000;1.800000
04/05/2015 10:40;21.020000;18.000000;55.000000;1.000000;22.119343;742.216200;0.000000;679.577800;0.040000;1.800000
04/05/2015 10:45;21.020000;18.000000;55.000000;2.000000;25.876060;771.383967;0.000000;671.495667;0.040000;1.800000
04/05/2015 10:50;21.051667;18.000000;55.537333;0.000000;24.514507;770.882733;0.000000;705.978767;0.040000;1.800000
04/05/2015 10:55;21.180000;18.000000;56.000000;0.000000;25.677167;870.879200;0.017167;743.967500;0.040000;1.800000
04/05/2015 11:00;21.180000;19.000000;56.000000;1.000000;25.597870;905.770467;0.000000;773.263733;0.038500;1.750000
04/05/2015 11:05;21.185622;19.000000;56.000000;1.000000;24.554427;919.106467;0.000000;810.411633;0.010000;0.800000
04/05/2015 11:10;21.330000;19.000000;55.799250;3.000000;25.397973;910.934133;0.000000;825.750267;0.010000;0.800000
04/05/2015 11:15;21.330000;19.000000;55.074783;0.000000;24.064393;846.599567;0.000000;816.046600;0.010000;0.800000
04/05/2015 11:20;21.330000;19.000000;55.107047;2.000000;21.680073;936.372267;0.011357;815.950200;0.010000;0.800000
04/05/2015 11:25;21.330000;19.000000;55.850467;0.000000;20.000000;933.079500;0.000000;842.666433;0.010000;0.800000
04/05/2015 11:30;21.330000;19.000000;56.000000;0.000000;20.684600;835.730800;0.000000;844.828067;0.009831;0.677333
04/05/2015 11:35;21.330000;19.000000;56.000000;0.000000;21.000000;776.439833;0.000000;813.404367;0.008900;0.000000
04/05/2015 11:40;21.330000;19.000000;56.000000;0.000000;21.000000;831.140467;0.000000;829.719400;0.008900;0.000000
04/05/2015 11:45;21.330000;19.000000;55.850433;1.000000;21.205740;796.528167;0.016933;812.457567;0.008900;0.000000
04/05/2015 11:50;21.330000;19.000000;56.000000;0.000000;20.103527;882.290033;0.008450;904.635933;0.008900;0.000000
04/05/2015 11:55;21.330000;19.000000;56.000000;1.000000;19.000000;848.848900;0.088990;909.999767;0.008900;0.000000
04/05/2015 12:00;21.330000;20.000000;56.000000;1.000000;20.195857;829.977200;0.355953;909.890233;0.008949;0.009333
04/05/2015 12:05;21.330000;20.000000;56.000000;0.000000;21.000000;850.040700;0.000000;942.266767;0.011000;0.400000
04/05/2015 12:10;21.330000;20.000000;56.000000;0.000000;21.000000;833.130700;0.000000;1001.384667;0.011000;0.400000
04/05/2015 12:15;21.330000;20.000000;56.000000;0.000000;21.000000;838.409100;0.000000;1009.723267;0.011000;0.400000
04/05/2015 12:20;21.330000;20.000000;56.000000;2.000000;22.889860;881.289067;0.009757;1038.860333;0.011000;0.400000
04/05/2015 12:25;21.330000;20.000000;56.000000;2.000000;22.255167;894.085800;0.000000;1071.386300;0.011000;0.400000
04/05/2015 12:30;21.330000;20.000000;56.000000;1.000000;21.066563;909.468633;0.000000;1093.203300;0.010837;0.498000
04/05/2015 12:35;21.330000;20.000000;56.000000;1.000000;21.632123;883.558933;0.000000;1102.870800;0.010000;1.000000
04/05/2015 12:40;21.330000;20.000000;56.000000;2.000000;21.825813;918.499467;0.000000;1102.364867;0.010000;1.000000
04/05/2015 12:45;21.330000;20.000000;56.000000;0.000000;28.869917;957.109733;0.000000;1096.423100;0.010000;1.000000
