"Time","Fenêtre Evier"
2020-02-24 12:29:20,0
2020-02-24 14:16:01,0
2020-02-24 14:16:01,0
2020-02-24 17:30:01,0
2020-02-28 11:38:06,1
2020-02-28 11:51:30,0
2020-02-28 12:51:30,0
2020-03-07 17:53:40,0
2020-03-07 17:53:40,0
2020-03-07 20:28:52,0
2020-03-08 09:49:20,0
2020-03-08 09:49:20,0
2020-03-08 10:32:36,0
2020-03-08 16:25:19,1
2020-03-08 16:25:19,1
2020-03-09 06:54:40,0
2020-03-09 06:54:40,0
2020-03-09 15:08:28,1
2020-03-09 15:23:18,0
2020-03-09 15:23:18,0
2020-03-10 06:56:25,1
2020-03-10 06:56:28,0
2020-03-10 06:56:28,0
2020-03-10 13:18:19,1
2020-03-10 13:27:57,0
2020-03-10 13:27:57,0
2020-03-12 08:32:34,1
2020-03-12 09:11:26,0
2020-03-12 09:11:26,0
2020-03-12 14:38:43,1
2020-03-12 16:01:50,0
2020-03-12 16:01:50,0
2020-03-13 15:39:16,0
2020-03-13 15:39:16,0
2020-03-13 22:11:00,0
2020-03-14 10:24:20,0
2020-03-14 10:24:21,0
2020-03-14 10:50:08,0
2020-03-14 13:40:48,1
2020-03-14 14:04:06,0
2020-03-14 14:04:06,0
2020-03-15 16:18:31,1
2020-03-15 17:30:35,0
2020-03-15 17:30:35,0
2020-03-16 11:18:08,1
2020-03-16 11:18:23,0
2020-03-16 11:18:23,0
2020-03-16 14:42:39,0
2020-03-16 14:42:39,0
2020-03-16 21:40:46,0
2020-03-17 14:56:24,1
2020-03-17 17:38:42,0
2020-03-17 17:38:42,0
2020-03-18 10:47:56,0
2020-03-18 10:47:57,0
2020-03-18 11:53:12,0
2020-03-18 15:27:14,0
2020-03-18 15:27:15,0
2020-03-18 18:05:30,0
2020-03-19 07:48:54,1
2020-03-19 07:49:01,0
2020-03-19 07:49:01,0
2020-03-19 14:17:02,0
2020-03-19 14:17:03,0
2020-03-19 16:39:45,0
2020-03-20 09:37:30,1
2020-03-20 09:37:41,0
2020-03-20 09:37:42,0
2020-03-20 18:01:58,0
2020-03-20 18:01:58,0
2020-03-21 17:20:31,1
2020-03-21 17:20:36,0
2020-03-21 17:20:36,0
2020-03-24 15:50:09,1
2020-03-24 17:22:24,0
2020-03-24 17:22:24,0
2020-03-27 17:01:06,0
2020-03-27 17:01:06,0
2020-03-27 17:37:56,0
2020-03-28 11:49:29,1
2020-03-28 11:49:33,0
2020-03-28 11:49:33,0
2020-03-28 21:03:27,1
2020-03-28 21:03:29,0
2020-03-28 21:03:29,0
2020-03-29 14:53:56,0
2020-03-29 14:53:56,0
