"Time","Production chauffage"
2020-12-04 07:14:36,0
2020-12-04 09:02:43,0
2020-12-04 09:02:43,0
2020-12-04 09:10:43,0
2020-12-04 11:06:50,0
2020-12-04 11:06:50,0
2020-12-04 11:16:51,0
2020-12-04 13:02:57,0
2020-12-04 13:02:57,0
2020-12-04 13:12:58,0
2020-12-04 15:14:38,0
2020-12-04 15:14:38,0
2020-12-04 15:25:39,0
2020-12-04 17:10:45,0
2020-12-04 17:10:45,0
2020-12-04 17:32:46,0
2020-12-04 19:22:53,0
2020-12-04 19:22:53,0
2020-12-04 19:34:54,0
2020-12-04 21:04:59,0
2020-12-04 21:04:59,0
2020-12-04 21:18:00,0
2020-12-04 23:10:07,0
2020-12-04 23:10:07,0
2020-12-04 23:22:15,0
2020-12-05 01:11:22,0
2020-12-05 01:11:22,0
2020-12-05 01:29:23,0
2020-12-05 03:29:30,0
2020-12-05 03:29:30,0
2020-12-05 03:42:31,0
2020-12-05 05:01:35,0
2020-12-05 05:01:35,0
2020-12-05 05:21:37,0
2020-12-05 07:01:43,0
2020-12-05 07:01:43,0
2020-12-05 07:15:43,0
2020-12-05 09:11:50,0
2020-12-05 09:11:50,0
2020-12-05 09:26:51,0
2020-12-05 11:02:57,0
2020-12-05 11:02:57,0
2020-12-05 11:15:58,0
2020-12-05 13:13:05,0
2020-12-05 13:13:05,0
2020-12-05 13:28:06,0
2020-12-05 15:08:12,0
2020-12-05 15:08:12,0
2020-12-05 15:23:13,0
2020-12-05 17:13:19,0
2020-12-05 17:13:19,0
2020-12-05 17:27:20,0
2020-12-05 19:16:27,0
2020-12-05 19:16:27,0
2020-12-05 19:36:28,0
2020-12-05 21:17:34,0
2020-12-05 21:17:34,0
2020-12-05 21:40:35,0
2020-12-05 23:07:40,0
2020-12-05 23:07:40,0
2020-12-05 23:18:41,0
2020-12-06 01:08:47,0
2020-12-06 01:08:47,0
2020-12-06 01:26:49,0
2020-12-06 03:04:55,0
2020-12-06 03:04:55,0
2020-12-06 03:26:56,0
2020-12-06 05:16:03,0
2020-12-06 05:16:03,0
2020-12-06 05:38:04,0
2020-12-06 07:08:09,0
2020-12-06 07:08:10,0
2020-12-06 07:21:10,0
2020-12-06 09:09:17,0
2020-12-06 09:09:17,0
2020-12-06 09:29:19,0
2020-12-06 11:02:24,0
