"Time","Télévision","Freebox","Homeciné","Robot Aspirateur","FreeBox TV","Kodi","Multimédia","Four","Garage","Plaques cuisson","Lave vaisselle","Lave linge","PZEM Général Puissance"
2020-04-07 02:00:00,97,20,1.2,4.3,20,3.5,11,0,,,61,,
2020-04-07 14:00:00,4.5,21,0.40,2.7,14,5.6,8.8,0,,0,,,
2020-04-08 02:00:00,85,21,3.2,16,21,3.5,11,,564,0,85,,
2020-04-08 14:00:00,3.2,33,0.40,2.7,13,4.4,12,,2129,0,227,,
2020-04-09 02:00:00,94,20,0.40,3,21,4.1,8.6,,1243,0,229,,
2020-04-09 14:00:00,1.8,23,0.40,2.7,23,3.7,8.6,,41,0,,0,
2020-04-10 02:00:00,4.5,25,0.40,3,21,3.5,11,,677,0,58,0,
2020-04-10 14:00:00,2.7,26,0.40,5.6,17,5.1,12,,0,,,,
2020-04-11 02:00:00,92,22,17,2.9,18,5,18,,,,,,
2020-04-11 14:00:00,2.5,23,0.40,2.7,14,5.1,54,0,219,0,0,,
2020-04-12 02:00:00,92,23,0.40,5,21,5,11,,132,0,,48,
2020-04-12 14:00:00,4.4,22,0.80,2.7,27,4.8,13,,42,,,,
2020-04-13 02:00:00,9,24,2,4,18,5,12,,12,0,59,0,
2020-04-13 14:00:00,5,16,0.40,2.7,24,4.9,12,,,902,,,
2020-04-14 02:00:00,47,36,0.40,3,19,5,11,,0,2705,21,0,
2020-04-14 14:00:00,2.5,20,2,2.7,17,4,14,,,275,,,
2020-04-15 02:00:00,5.5,16,0.40,3,20,3.7,12,,,0,29,0,
2020-04-15 14:00:00,1.8,19,1.3,2.7,15,3.5,12,0,,0,,,
2020-04-16 02:00:00,95,19,0.60,4.6,21,3.7,19,,,0,0,0,
2020-04-16 14:00:00,2,18,0.40,2.7,12,3.7,12,0,44,0,,,
2020-04-17 02:00:00,2.2,24,0.40,0.50,16,3.7,14,,,0,223,0,
2020-04-17 14:00:00,2.2,21,0.80,2.7,22,3.7,12,,,0,,,
2020-04-18 02:00:00,5,24,0.80,3,21,3.7,262,,454,0,0,0,
2020-04-18 14:00:00,2.5,16,0.40,2.7,14,5.3,14,,10,1678,26,,
2020-04-19 02:00:00,52,15,0.40,65,20,4.1,14,,0,859,32,0,
2020-04-19 14:00:00,24,16,0.40,4.3,17,5.5,12,,10,0,32,,
2020-04-20 02:00:00,3.5,25,0.80,3,19,3.5,18,,0,0,,,
2020-04-20 14:00:00,4.5,23,0.40,2.7,12,4.6,12,,50,0,232,0,
2020-04-21 02:00:00,94,22,0.40,3,20,3.5,14,,30,,,0,
2020-04-21 14:00:00,2,12,0.40,2.7,12,3.7,12,,25,,,,
2020-04-22 02:00:00,2.5,22,0.80,6.5,18,3.5,14,,168,,,,
2020-04-22 14:00:00,2,12,0.40,2.7,13,4.6,12,0,0,,25,,
2020-04-23 02:00:00,5,38,1.2,2.9,20,3.5,13,,18,0,,,
2020-04-23 14:00:00,3.7,17,0.40,2.7,15,4.6,12,0,49,0,31,,
2020-04-24 02:00:00,94,24,0.40,3.7,20,3.7,11,,0,,,0,
2020-04-24 14:00:00,2.5,17,6.3,2.7,18,4.6,11,,62,346,20,,
