stringtime,epochtime,datetime,Toffice_wall,Tcorridor,Theater,Toffice_reference,office_CO2_concentration,corridor_CO2_concentration,zetaW7,zetaW9,window_opening,door_opening,power_block_east,power_block_west,power_stephane,power_khadija,power_audrey,power_stagiaire,humidity,Tyanis,occupancy,detected_motions,Tout,humidity_outdoor,nebulosity,illuminance_old,illuminance_new,dT_heat,power_heater,heating_level,total_electric_power,phi_sun,total_power,total_power_nosun,actual_occupation,acoustic_pressure_dB
18/01/2016 17:00:00,1453132800000,2016-01-18 17:00:00,18.871481111111116,15.616383155555555,31.06,18.06241462222222,417.10339444444446,653.5880722222222,0.0,0.0,0.0,0.0,22.0,363.37370444444446,0.0,0.0,0.0,0.0,26.473552777777776,15.616383155555555,0,0,0.33,63.0,99.0,1.2791695333333335,2.112344444444446,12.997585377777778,649.8792688888889,0.28883523061728394,385.37370444444446,5.373609831205298,390.7473142756497,385.37370444444446,0.0,0.0
18/01/2016 18:00:00,1453136400000,2016-01-18 18:00:00,18.229070333333333,15.142119733333333,28.235903419444444,17.472249897222223,412.651275,565.5135111111111,0.0,0.0,0.0,0.0,22.0,360.2868175,0.0,0.0,0.0,0.0,25.96259722222222,15.142119733333333,0,0,-0.17,65.0,100.0,0.0,0.0,10.76365352222222,538.182676111111,0.23919230049382714,382.2868175,0.0,382.2868175,382.2868175,0.0,0.0
18/01/2016 19:00:00,1453140000000,2016-01-18 19:00:00,17.884029611111114,14.761306266666665,26.606152377777782,16.926557577777782,416.50854166666664,549.8234444444445,0.0,0.0,0.0,0.0,22.0,359.97654555555556,0.0,0.0,0.0,0.0,26.95355,14.761306266666665,0,0,0.0,65.0,100.0,0.0,0.0,9.6795948,483.97974,0.21510210666666665,381.97654555555556,0.0,381.97654555555556,381.97654555555556,0.0,0.0
18/01/2016 20:00:00,1453143600000,2016-01-18 20:00:00,17.607477166666673,14.527520666666668,26.567521955555556,16.63,421.310125,558.8155,0.0,0.0,0.0,0.0,22.0,357.21551,0.0,0.0,0.0,0.0,27.16201361111111,14.527520666666668,0,0,-0.38,66.0,100.0,0.0,0.0,9.937521955555557,496.87609777777783,0.22083382123456793,379.21551,0.0,379.21551,379.21551,0.0,0.0
18/01/2016 21:00:00,1453147200000,2016-01-18 21:00:00,17.577562333333336,14.56,26.832095219444444,16.63,422.0562722222222,549.7931416666667,0.0,0.0,0.0,0.0,22.0,357.8707122222222,0.0,0.0,0.0,0.0,27.249233055555557,14.56,0,0,-0.6,68.0,100.0,0.0,0.0,10.202095219444445,510.10476097222227,0.22671322709876546,379.8707122222222,0.0,379.8707122222222,379.8707122222222,0.0,0.0
18/01/2016 22:00:00,1453150800000,2016-01-18 22:00:00,17.458580277777777,14.56,26.67,16.63,424.45386388888886,522.1513138888889,0.0,0.0,0.0,0.0,22.0,357.5341716666667,0.0,0.0,0.0,0.0,27.236812222222223,14.56,0,0,-0.57,70.0,100.0,0.0,0.0,10.040000000000003,502.0000000000001,0.22311111111111115,379.5341716666667,0.0,379.5341716666667,379.5341716666667,0.0,0.0
18/01/2016 23:00:00,1453154400000,2016-01-18 23:00:00,17.4,14.56,26.67,16.63,430.0,520.0,0.0,0.0,0.0,0.0,22.0,358.0,0.0,0.0,0.0,0.0,27.0,5.59315928888889,0,0,-0.67,76.0,100.0,0.0,0.0,10.040000000000003,502.0000000000001,0.22311111111111115,380.0,0.0,380.0,380.0,0.0,0.0
19/01/2016 00:00:00,1453158000000,2016-01-19 00:00:00,17.4,14.56,26.67,16.63,430.0,520.0,0.0,0.0,0.0,0.0,22.0,358.0,0.0,0.0,0.0,0.0,27.0,0.0,0,0,-0.38,80.0,100.0,0.0,0.0,10.040000000000003,502.0000000000001,0.22311111111111115,380.0,0.0,380.0,380.0,0.0,0.0
19/01/2016 01:00:00,1453161600000,2016-01-19 01:00:00,17.4,14.56,26.67,16.63,430.0,520.0,0.0,0.0,0.0,0.0,22.0,358.0,0.0,0.0,0.0,0.0,27.0,0.0,0,0,-0.42,83.0,100.0,0.0,0.0,10.040000000000003,502.0000000000001,0.22311111111111115,380.0,0.0,380.0,380.0,0.0,0.0
19/01/2016 02:00:00,1453165200000,2016-01-19 02:00:00,18.356037277777773,15.601613066666667,27.274317644444444,16.91613680277778,443.39739444444444,419.30707222222225,0.0,0.0,0.0,0.0,22.0,359.6315513888889,0.0,0.0,0.0,0.0,27.67561388888889,14.582582933333335,0,0,-0.42,86.0,96.0,0.0,0.0,10.358180841666666,517.9090420833334,0.2301817964814815,381.6315513888889,0.0,381.6315513888889,381.6315513888889,0.0,0.0
